ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,XY (CABA),VICTIMA,ACUSADO,Nº víctimas,V,A,Grupos_Part,Involucrados
2017-0065,1,2017-05-22,2017,5,22,16:00:00,16,AV. SUAREZ Y HERRERA,AVENIDA,4,Point (107903.91828587 98767.43091425),BICICLETA,CARGAS,1,No Motorizado,Motorizado,NmM,BICICLETA-CARGAS
2017-0066,1,2017-05-22,2017,5,22,18:10:00,18,AV. SAN MARTIN Y FRAGATA SARMIENTO,AVENIDA,15,Point (100300.69930045 102792.78597597),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0067,1,2017-05-23,2017,5,23,02:45:00,2,AV. DIRECTORIO Y AV. JOSE MARIA MORENO,AVENIDA,6,Point (102703.30911569 100138.40769771),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0068,1,2017-05-27,2017,5,27,19:50:00,19,AV. TTE. FRANCISCO RABANAL 2950,AVENIDA,8,Point (102520.03961549 96105.29592085),MOTO,OBJETO FIJO,1,Motorizado,No Motorizado,NmM,MOTO-OBJETO FIJO
2017-0070,1,2017-05-30,2017,5,30,13:20:00,13,NUEVA YORK  3696,CALLE,11,Point (95907.08722675 103463.22327776),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0072,1,2017-06-03,2017,6,3,23:20:00,23,AV. DE LOS CONSTITUYENTES Y VALLEJOS,AVENIDA,12,Point (97389.59663507 105213.53381695),AUTO,AUTO,1,Motorizado,Motorizado,MM,AUTO-AUTO
2017-0073,1,2017-06-04,2017,6,4,09:00:00,9,AV. CORRIENTES Y ECUADOR,AVENIDA,3,Point (105089.38820014 102773.44772064),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0075,1,2017-06-12,2017,6,12,22:38:00,22,AV. DE MAYO Y AV. 9 DE JULIO,AVENIDA,1,Point (107498.83241886 102238.54924157),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2017-0076,1,2017-06-13,2017,6,13,14:50:00,14,AV. RAMON CASTILLO Y CALLE 12,AVENIDA,2,Point (107160.34141948 105678.38284277),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0077,1,2017-06-17,2017,6,17,23:45:00,23,FRAY JUSTO SANTAMARIA DE ORO 1930,CALLE,14,Point (103115.59520137 104964.08461543),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0079,1,2017-06-19,2017,6,19,16:26:00,16,MEXICO Y DEAN FUNES,CALLE,3,Point (105202.26736061 101269.73269565),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0080,1,2017-06-22,2017,6,22,10:15:00,10,AV. JUAN B ALBERDI Y AV. ESCALADA,AVENIDA,9,Point (97070.50716478 98268.08001276),PEATON,CARGAS,1,PEATON,Motorizado,PM,PEATON-CARGAS
2017-0082,1,2017-06-25,2017,6,25,22:40:00,22,AV. ENTRE RIOS Y AV. BRASIL,AVENIDA,4,Point (106636.30041967 99991.34072603),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0083,1,2017-07-04,2017,7,4,00:25:00,0,AV. JUAN B ALBERDI Y GUARDIA NACIONAL,AVENIDA,9,Point (96998.81124177 98183.20743664),MOTO,CARGAS,1,Motorizado,Motorizado,MM,MOTO-CARGAS
2017-0084,1,2017-07-05,2017,7,5,12:49:00,12,AV. DEL LIBERTADOR Y RODRIGUEZ PEÑA,AVENIDA,2,Point (107180.90591568 104682.54945160),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0085,1,2017-07-07,2017,7,7,14:15:00,14,TACUARI Y AV. MARTIN GARCIA,AVENIDA,4,Point (108315.72323297 99748.45783960),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0086,1,2017-07-09,2017,7,9,07:30:00,7,AV. RIVADAVIA Y MURGUIONDO,AVENIDA,9,Point (94914.28538682 98912.56901137),PEATON,MOTO,1,PEATON,Motorizado,PM,PEATON-MOTO
2017-0087,1,2017-07-10,2017,7,10,10:45:00,10,24 DE NOVIEMBRE 390,CALLE,3,Point (104800.65774098 101563.94663965),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0088,1,2017-07-10,2017,7,10,22:30:00,22,AV. PASEO COLON Y BRASIL,AVENIDA,1,Point (108741.48238670 100448.08502809),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
2017-0090,1,2017-07-15,2017,7,15,05:15:00,5,AV. CHIVILCOY Y COLECTORA AV. GRAL. PAZ ,GRAL PAZ,11,Point (94866.55993974 104164.40879727),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0092,1,2017-07-24,2017,7,24,22:16:01,22,AU 25 DE MAYO Y AU FRONDIZI (9 DE JULIO SUR),AUTOPISTA,1,Point (107392.50226602 100712.59265582),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0093,1,2017-07-25,2017,7,25,16:48:40,16,"AV. LEOPOLDO LUGONES KM 7,5, ALTURA PUENTE SCALABRINI ORTIZ, SENTIDO A CENTRO PORTEÑO",AUTOPISTA,13,Point (102474.90818824 108830.74789029),PEATON,AUTO,1,PEATON,Motorizado,PM,PEATON-AUTO
2017-0094,1,2017-07-27,2017,7,27,08:50:00,8,VICTOR HUGO 2639,CALLE,10,Point (94212.26181299 101286.25735606),BICICLETA,CARGAS,1,No Motorizado,Motorizado,NmM,BICICLETA-CARGAS
2017-0095,1,2017-08-06,2017,8,6,08:00:00,8,AV. CORDOBA Y JERONIMO SALGUERO,AVENIDA,14,Point (104068.94257873 103491.45652529),MOTO,AUTO,1,Motorizado,Motorizado,MM,MOTO-AUTO
2017-0096,1,2017-08-07,2017,8,7,19:50:00,19,AV. CABILDO Y NUÑEZ,AVENIDA,13,Point (99608.90354249 108823.89449537),PEATON,PASAJEROS,1,PEATON,Motorizado,PM,PEATON-PASAJEROS
